Wavelength(nm),Absorption (Substrate)
300,0.954113357
302,0.889774846
304,0.93655826
306,0.932740848
308,0.925055259
310,0.932127864
312,0.913856736
314,0.94061253
316,0.955014327
318,0.945114952
320,0.94779677
322,0.93365088
324,0.972008417
326,0.926199077
328,0.954772325
330,0.921328771
332,0.925481047
334,0.971670912
336,0.900491541
338,0.945861246
340,0.977686244
342,0.946243947
344,0.955311246
346,0.924666794
348,0.934905513
350,0.980495194
352,0.906671266
354,0.928132832
356,0.931587648
358,0.962271805
360,0.942971464
362,0.922155365
364,0.884785081
366,0.932193313
368,0.949692299
370,0.948379782
372,0.961880471
374,0.957483553
376,0.956782844
378,0.934396347
380,0.972346888
382,0.951753732
384,0.947862966
386,0.95224421
388,0.962806499
390,0.919614076
392,0.963896666
394,0.949151545
396,0.953272893
398,0.949096317
400,0.959175513
402,0.978328524
404,0.957462242
406,0.971143412
408,0.933770447
410,0.935372088
412,0.965256872
414,0.980849079
416,0.992010909
418,0.99944102
420,0.961158208
422,0.990032847
424,0.97043865
426,0.955489649
428,0.960994231
430,0.99409523
432,0.981412367
434,0.999805844
436,0.965040892
438,0.971341194
440,0.969246032
442,0.9775
444,0.968290043
446,0.99
448,0.962103175
450,0.981196581
452,0.983974359
454,0.982222222
456,0.946818182
458,0.993333333
460,0.98
462,0.965641026
464,0.969047619
466,1
468,0.992307692
470,0.949837662
472,0.968888889
474,1
476,0.975909091
478,0.974053724
480,0.98125
482,0.988888889
484,0.971498599
486,1
488,0.983216783
490,0.9875
492,0.992307692
494,0.975496032
496,1
498,0.979047619
500,0.9875
502,1
504,0.963333333
506,1
508,0.973974359
510,0.980357143
512,1
514,0.990909091
516,1
518,0.99
520,0.988888889
522,0.99
524,1
526,1
528,1
530,0.986666667
532,0.986057692
534,0.979166667
536,1
538,0.98375
540,0.9775
542,0.9875
544,0.966388889
546,1
548,0.990909091
550,0.994444444
552,1
554,0.99
556,0.991666667
558,1
560,0.992307692
562,1
564,0.95
566,0.99
568,0.99
570,0.99
572,1
574,0.98
576,0.953311966
578,0.972222222
580,1
582,1
584,1
586,0.992307692
588,1
590,0.981666667
592,1
594,1
596,1
598,0.990909091
600,0.991666667
602,0.995
604,1
606,0.99
608,0.977777778
610,0.990909091
612,0.980555556
614,1
616,0.978409091
618,1
620,0.990909091
622,0.9875
624,1
626,0.98
628,1
630,0.956666667
632,1
634,0.970833333
636,1
638,1
640,1
642,0.981666667
644,0.960833333
646,1
648,0.958974359
650,1
652,0.9775
654,0.992857143
656,1
658,1
660,0.983974359
662,0.983333333
664,1
666,1
668,0.992857143
670,0.9875
672,0.990909091
674,0.992857143
676,1
678,0.985641026
680,1
682,0.979166667
684,1
686,1
688,1
690,1
692,1
694,0.974603175
696,1
698,0.9775
700,0.990909091
702,1
704,0.985714286
706,0.982575758
708,0.97452381
710,0.970707071
712,0.981818182
714,1
716,0.975
718,1
720,0.983333333
722,1
724,0.99
726,1
728,1
730,1
732,1
734,0.9875
736,0.990909091
738,1
740,0.990909091
742,0.964659091
744,0.976388889
746,1
748,1
750,0.993333333
752,0.991666667
754,0.977777778
756,0.991666667
758,0.993333333
760,0.990909091
762,1
764,1
766,0.9875
768,1
770,0.992307692
772,0.979047619
774,0.977661228
776,0.993333333
778,1
780,1
782,1
784,0.976388889
786,0.96
788,0.992857143
790,0.994117647
792,0.988888889
794,0.9875
796,1
798,1
800,0.988888889
802,0.990909091
804,1
806,1
808,0.990909091
810,0.973766234
812,1
814,0.992857143
816,0.9875
818,1
820,0.991666666
822,1
824,0.989999999
826,0.99090909
828,0.999999999
830,0.993749998
832,0.999999997
834,0.999999996
836,0.999999994
838,0.97341269
840,0.988888877
842,0.999999984
844,0.999999977
846,0.999999964
848,0.983766185
850,0.9916666
852,0.993333249
854,0.992857023
856,0.999999815
858,0.999999753
860,0.980908747
862,0.999999514
864,0.999999377
866,0.999999102
868,0.999998846
870,0.993331774
872,0.989997824
874,0.99999702
876,0.9928534
878,0.999994924
880,0.985707505
882,0.990900036
884,0.990898515
886,0.992292824
888,0.964148362
890,0.970610623
892,0.999967867
894,0.987460363
896,0.959953168
898,0.999934786
900,0.999914952
902,0.999902406
904,0.993625442
906,0.990761045
908,0.999827478
910,0.992099992
912,0.979540199
914,0.999668962
916,0.984786266
918,0.99952719
920,0.968336073
922,0.992175113
924,0.976639967
926,0.977874088
928,0.998740935
930,0.988513988
932,0.998226372
934,0.988888014
936,0.981827408
938,0.997095013
940,0.970212673
942,0.963259364
944,0.995292232
946,0.994765753
948,0.993317588
950,0.985477295
952,0.991413554
954,0.991268872
956,0.998843271
958,0.998551844
960,0.985983664
962,0.981109925
964,0.997903374
966,0.997405097
968,0.997131402
970,0.988612725
972,0.988378948
974,0.995873369
976,0.995098778
978,0.994188377
980,0.961276917
982,0.968048374
984,0.991843322
986,0.990498922
988,0.978025688
990,0.978754833
992,0.979056306
994,0.971053465
996,0.984957127
998,0.986184699
1000,0.984114956
1002,0.982617321
1004,0.965530424
1006,0.966478062
1008,0.976320953
1010,0.973462521
1012,0.954188478
1014,0.950531502
1016,0.965639571
1018,0.958143445
1020,0.953756493
1022,0.938892129
1024,0.934770715
1026,0.943037505
1028,0.945278138
1030,0.929320452
1032,0.929019618
1034,0.932750314
1036,0.910211744
1038,0.904776808
1040,0.884285644
1042,0.900953916
1044,0.876927724
1046,0.876240558
1048,0.87348629
1050,0.840969069
1052,0.825854107
1054,0.856141958
1056,0.834515852
1058,0.803739096
1060,0.78791805
1062,0.753178245
1064,0.769088911
1066,0.752558143
1068,0.724696223
1070,0.726484922
1072,0.71486067
1074,0.738460144
1076,0.713853319
1078,0.689697473
1080,0.693875823
1082,0.651132108
1084,0.629488734
1086,0.619865319
1088,0.623210055
1090,0.631560194
1092,0.596546595
1094,0.552505821
1096,0.56496318
1098,0.508557981
1100,0.536272721
1102,0.516005964
1104,0.502285928
1106,0.523266794
1108,0.499040475
1110,0.46918494
1112,0.436081668
1114,0.449370394
1116,0.44062726
1118,0.417982103
1120,0.378082469
1122,0.362643242
1124,0.342293836
1126,0.33270827
1128,0.310175875
1130,0.307276439
1132,0.267053321
1134,0.301647489
1136,0.276995133
1138,0.255721586
1140,0.244116957
1142,0.227741812
1144,0.206954819
1146,0.202920971
1148,0.190972809
1150,0.195512372
1152,0.166811128
1154,0.172678249
1156,0.138435071
1158,0.122732118
1160,0.116806398
1162,0.105748411
1164,0.094282282
1166,0.079210874
1168,0.070288282
1170,0.059208063
1172,0.059224933
1174,0.049580964
1176,0.036637437
1178,0.031851686
1180,0.017270801
1182,0.019963778
1184,0.017827365
1186,0.016693836
1188,0.014585183
1190,0.009363378
1192,0.009631712
1194,0.008955245
1196,0.008567923
1198,0.008055511
1200,0.006472636
1202,0.006121348
1204,0.005688563
1206,0.005077811
1208,0.004544299
1210,0.004096777
1212,0.003379985
1214,0.003768265
1216,0.003340794
1218,0.002778553
1220,0.002618214
1222,0.002643206
1224,0.002356039
1226,0.001997563
1228,0.001816989
1230,0.001595599
1232,0.001399009
1234,0.001196039
1236,0.000995485
1238,0.000882662
1240,0.000705737
1242,0.000656468
1244,0.000683898
1246,0.000567278
1248,0.000420218
1250,0.000371671
1252,0.000294624
1254,0.000234709
1256,0.000190252
1258,0.000171595
1260,0.000119102
1262,0.000101737
1264,9.4585E-05
1266,8.67537E-05
1268,8.91935E-05
1270,6.65796E-05
1272,5.36633E-05
1274,5.1796E-05
1276,5.39574E-05
1278,4.36724E-05
1280,3.71667E-05
1282,3.43355E-05
1284,3.62568E-05
1286,2.50925E-05
1288,2.40951E-05
1290,2.52281E-05
1292,2.04113E-05
1294,2.00217E-05
1296,1.57321E-05
1298,1.3328E-05
1300,1.23271E-05